2026-06-30 13:09:51.102 | DEBUG    | __main__:extract_cv_info:336 - Extracted CV: Ismail Arale Ali
2026-06-30 13:09:55.398 | ERROR    | __main__:add_consultant_to_airtable:526 - Failed to add consultant Ismail Arale Ali: ('422 Client Error: Unprocessable Entity for url: https://api.airtable.com/v0/app2zoGNoagY5eLht/CONSULTANTS', '{\'type\': \'UNKNOWN_FIELD_NAME\', \'message\': \'Unknown field name: "based_in"\'}')
2026-06-30 13:09:55.775 | DEBUG    | __main__:read_docx:201 - DOCX: Mugove_ Resume.docx → 5326 chars
2026-06-30 13:10:01.878 | DEBUG    | __main__:extract_cv_info:336 - Extracted CV: Mugove Kwashirai Chakurira
2026-06-30 13:10:09.529 | ERROR    | __main__:add_consultant_to_airtable:526 - Failed to add consultant Mugove Kwashirai Chakurira: ('422 Client Error: Unprocessable Entity for url: https://api.airtable.com/v0/app2zoGNoagY5eLht/CONSULTANTS', '{\'type\': \'UNKNOWN_FIELD_NAME\', \'message\': \'Unknown field name: "based_in"\'}')
2026-06-30 13:10:09.845 | ERROR    | __main__:read_docx:204 - DOCX read failed for data/cvs/Nyasha Gender and SGBV Program Specialist-CV EU format .doc: File is not a zip file
2026-06-30 13:10:09.952 | DEBUG    | __main__:read_docx:201 - DOCX: PUE Expert.docx → 10763 chars
2026-06-30 13:10:19.161 | DEBUG    | __main__:extract_cv_info:336 - Extracted CV: Eng. George Otula PE
2026-06-30 13:10:33.011 | ERROR    | __main__:add_consultant_to_airtable:526 - Failed to add consultant Eng. George Otula PE: ('422 Client Error: Unprocessable Entity for url: https://api.airtable.com/v0/app2zoGNoagY5eLht/CONSULTANTS', '{\'type\': \'UNKNOWN_FIELD_NAME\', \'message\': \'Unknown field name: "based_in"\'}')
2026-06-30 13:10:33.466 | DEBUG    | __main__:read_docx:201 - DOCX: Salahweli Harun-cv IOM.docx → 18922 chars
2026-06-30 13:10:42.436 | DEBUG    | __main__:extract_cv_info:336 - Extracted CV: Salahweli Harun Abdi
2026-06-30 13:10:44.934 | ERROR    | __main__:add_consultant_to_airtable:526 - Failed to add consultant Salahweli Harun Abdi: ('422 Client Error: Unprocessable Entity for url: https://api.airtable.com/v0/app2zoGNoagY5eLht/CONSULTANTS', '{\'type\': \'UNKNOWN_FIELD_NAME\', \'message\': \'Unknown field name: "based_in"\'}')
2026-06-30 13:10:45.310 | DEBUG    | __main__:read_docx:201 - DOCX: Shafat A . CV...docx → 10982 chars
2026-06-30 13:10:52.993 | DEBUG    | __main__:extract_cv_info:336 - Extracted CV: Abdifatah Diis Shafat
2026-06-30 13:11:03.097 | ERROR    | __main__:add_consultant_to_airtable:526 - Failed to add consultant Abdifatah Diis Shafat: ('422 Client Error: Unprocessable Entity for url: https://api.airtable.com/v0/app2zoGNoagY5eLht/CONSULTANTS', '{\'type\': \'UNKNOWN_FIELD_NAME\', \'message\': \'Unknown field name: "based_in"\'}')
2026-06-30 13:11:03.473 | DEBUG    | __main__:read_docx:201 - DOCX: Shafat A . CV.._1.docx → 10982 chars
2026-06-30 13:11:11.269 | DEBUG    | __main__:extract_cv_info:336 - Extracted CV: Abdifatah Diis Shafat
